Graph,Node
All Family Types Of Category,TurnIntoList
All Family Types Of Category,ReturnListOrSingleValue
All Intersecting Elements Of Category By Vector,ReturnListOrSingleValue
All Intersecting Elements Of Category By Vector,TurnIntoList
All Intersecting Elements Of Category By Vector,TurnIntoList
All Intersecting Elements Of Category By Vector,ReturnListOrSingleValue
CurtainPanel.HostPanel,ReturnListOrSingleValue
CurtainPanel.HostPanel,TurnIntoList
DesignOption.DesignOptionSet,ReturnListOrSingleValue
DesignOption.DesignOptionSet,TurnIntoList
DesignOption.IsPrimary,ReturnListOrSingleValue
DetailComponent.ByCurve,TurnIntoList
DetailComponent.ByCurve,ReturnListOrSingleValue
DetailCurve.ByCurve+,ReturnListOrSingleValue
DetailCurve.ByCurve+,TurnIntoList
Dimension.SetType,TurnIntoList
Document.ContainsElementsOfCategory,ReturnListOrSingleValue
Document.ContainsElementsOfCategory,ReturnListOrSingleValue
Document.ContainsElementsOfCategory,TurnIntoList
Door.Rooms,TurnIntoList
Door.Rooms,ReturnListOrSingleValue
Door.Rooms,ReturnListOrSingleValue
Door.Rooms,ReturnListOrSingleValue
Element.Category+,TurnIntoList
Element.ContainsTransparentMaterials,TurnIntoList
Element.ContainsTransparentMaterials,Material.Properties
Element.ContainsTransparentMaterials,ReturnListOrSingleValue
Element.ExternalFileReferencePath,ReturnListOrSingleValue
Element.ExternalFileReferencePath,TurnIntoList
Element.FromDynamoSurface,ReturnListOrSingleValue
Element.FromDynamoSurface,TurnIntoList
Element.Group,ReturnListOrSingleValue
Element.Group,TurnIntoList
Element.Host+,TurnIntoList
Element.Host+,ReturnListOrSingleValue
Element.ID+,TurnIntoList
Element.ID+,ReturnListOrSingleValue
Element.Level,TurnIntoList
Element.Level,ReturnListOrSingleValue
Element.Location+,TurnIntoList
Element.Name+,TurnIntoList
Element.Name+,ReturnListOrSingleValue
Element.OwnerView,TurnIntoList
Element.OwnerView,ReturnListOrSingleValue
Element.Phases,TurnIntoList
Element.Phases,ReturnListOrSingleValue
Element.Phases,ReturnListOrSingleValue
Element.SetMaterialParameterByCategory,ReturnListOrSingleValue
Element.SetMaterialParameterByCategory,TurnIntoList
Element.SetMaterialParameterByCategory,ReturnListOrSingleValue
Element.SetName,TurnIntoList
Element.SetName,TurnIntoList
Element.SetWorkset,TurnIntoList
Element.Workset,ReturnListOrSingleValue
Element.Workset,TurnIntoList
Elements.FilterByName,TurnIntoList
Elements.FilterByName,Element.Name+
Elements.FilterByParameterValueAndCondition,Element.ParameterExists
Elements.GroupByHost,TurnIntoList
Family.HostingBehavior,ReturnListOrSingleValue
Family.HostingBehavior,TurnIntoList
Family.IsInPlace,ReturnListOrSingleValue
Family.IsInPlace,TurnIntoList
Family.PlacementType,ReturnListOrSingleValue
Family.PlacementType,TurnIntoList
FamilyInstance.AddCoping,ReturnListOrSingleValue
FamilyInstance.AddCoping,TurnIntoList
FamilyInstance.AddCoping,TurnIntoList
FamilyInstance.AddCoping,ReturnListOrSingleValue
FamilyInstance.ByCurve,ReturnListOrSingleValue
FamilyInstance.ByCurve,TurnIntoList
FamilyInstance.FlipFacingOrientation,TurnIntoList
FamilyInstance.FlipFacingOrientation,ReturnListOrSingleValue
FamilyInstance.FlipFacingOrientation,ReturnListOrSingleValue
FamilyInstance.FlipHandOrientation,TurnIntoList
FamilyInstance.FlipHandOrientation,ReturnListOrSingleValue
FamilyInstance.FlipHandOrientation,ReturnListOrSingleValue
FamilyInstance.RemoveCoping,ReturnListOrSingleValue
FamilyInstance.RemoveCoping,TurnIntoList
FamilyInstance.RemoveCoping,TurnIntoList
