Source;Date;Time;Model;Type;Study Date Range;Study Time Range;Longitude;Latitude;Unit
Vasari v1.0;24.06.2014;19:03;SolarRadiationToPanels_Sample.rvt;Average;"21.06.2010,21.06.2010";"Sunrise,Sunset";-71,0329971313477;42,2130012512207;BTU/ft²

Analysis point index;Insolation value;point x;point y;point z;normal x;normal y;normal z
1;34,9212677459717;-23,5358290828857;-7,51987425918188;1,92663668361198;0;-0,9955599;0,09413037
2;35,1803079605103;-23,5358290828857;-7,15554655058574;5,77991005083594;0;-0,9955599;0,09413037
3;35,5776825714111;-23,5358290828857;-6,79121884198959;9,6331834180599;0;-0,9955599;0,09413037
4;36,0750991821289;-23,5358290828857;-6,42689113339344;13,4864567852839;0;-0,9955599;0,09413037
5;36,664743560791;-23,5358290828857;-6,06256342479729;17,3397301525078;0;-0,9955599;0,09413037
6;37,2706694030762;-23,5358290828857;-5,69823571620115;21,1930035197318;0;-0,9955599;0,09413037
7;38,1705516052246;-23,5358290828857;-5,333908007605;25,0462768869557;0;-0,9955599;0,09413037
8;39,0559783248901;-23,5358290828857;-4,96958029900885;28,8995502541797;0;-0,9955599;0,09413037
9;40,0037496032715;-23,5358290828857;-4,6052525904127;32,7528236214037;0;-0,9955599;0,09413037
10;40,6833338317871;-23,5358290828857;-4,24092488181656;36,6060969886276;0;-0,9955599;0,09413037
11;41,3238057861328;-23,5358290828857;-3,87659717322041;40,4593703558516;0;-0,9955599;0,09413037
12;41,3238057861328;-23,5358290828857;-3,51226946462426;44,3126437230755;0;-0,9955599;0,09413037
13;41,3238057861328;-23,5358290828857;-3,14794175602811;48,1659170902995;0;-0,9955599;0,09413037
14;41,3238057861328;-23,5358290828857;-2,78361404743196;52,0191904575234;0;-0,9955599;0,09413037
15;41,3238057861328;-23,5358290828857;-2,41928633883582;55,8724638247474;0;-0,9955599;0,09413037
16;41,3238057861328;-23,5358290828857;-2,05495863023967;59,7257371919714;0;-0,9955599;0,09413037
